"ANNUS";"Sub_Div";"RECT";"Area";"0";"1";"2";"3";"4";"5";"6";"7";"8"
1991,00;"22";"37G1";723,30;501,69;44,20;2,49;0,10;0,16;0,18;0,00;0,00;0,00
1991,00;"22";"38F9";51,90;44,97;10,42;1,67;0,18;0,21;0,00;0,00;0,00;0,00
1991,00;"22";"38G0";735,30;1077,22;55,09;4,64;0,81;0,61;0,00;0,00;0,00;0,00
1991,00;"22";"38G1";173,20;469,77;24,02;2,02;0,35;0,27;0,00;0,00;0,00;0,00
1991,00;"22";"39F9";159,30;28,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1991,00;"22";"39G0";201,70;554,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1991,00;"22";"39G1";250,00;260,97;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1991,00;"22";"40F9";51,30;25,80;1,48;0,38;0,09;0,06;0,00;0,00;0,00;0,00
1991,00;"22";"40G0";538,10;1081,04;62,15;16,07;3,80;2,51;0,00;0,00;0,00;0,00
1991,00;"23";"39G2";130,90;43,06;2,12;3,03;3,49;1,43;0,73;0,19;0,05;0,00
1991,00;"23";"40G2";164,00;35,45;40,34;95,07;96,92;37,37;24,94;6,31;1,30;0,00
1991,00;"24";"37G2";192,40;61,63;5,71;1,73;1,11;0,12;0,00;0,02;0,00;0,00
1991,00;"24";"38G2";832,90;53,19;229,18;82,55;37,15;3,35;0,68;0,34;0,00;0,00
1991,00;"24";"38G3";865,70;553,40;1215,89;336,90;285,34;66,16;21,93;11,03;0,99;4,25
1991,00;"24";"38G4";1034,80;483,49;237,55;37,09;22,28;2,99;0,36;0,12;0,18;0,19
1991,00;"24";"39G2";406,10;122,19;27,29;34,37;70,16;31,02;12,15;8,29;0,54;4,71
1991,00;"24";"39G3";765,00;72,79;445,02;208,36;263,28;89,16;31,95;18,31;2,23;14,42
1991,00;"24";"39G4";524,80;16,58;101,34;47,45;59,96;20,30;7,28;4,17;0,51;3,28
1991,00;"25";"37G5";642,20;64,00;42,81;34,18;27,27;5,18;5,18;1,73;1,73;3,45
1991,00;"25";"38G5";1035,70;147,00;61,98;41,98;42,98;8,00;15,99;2,00;5,00;2,00
1991,00;"25";"38G6";940,20;158,00;13,11;7,15;7,15;1,19;2,38;0,00;0,00;0,00
1991,00;"25";"39G4";287,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1991,00;"25";"39G5";979,00;43,00;60,52;38,07;43,08;10,02;20,04;3,01;6,01;2,00
1991,00;"25";"39G6";1026,00;51,00;105,99;84,99;111,99;50,00;37,00;11,00;10,00;10,00
1991,00;"25";"39G7";1026,00;17,00;194,84;98,41;126,65;55,67;44,73;11,93;12,92;7,95
1991,00;"25";"40G4";677,20;8,95;230,87;467,21;519,62;173,99;75,80;35,22;16,63;11,20
