Year;Sub_Div;RECT;Area;Age1;Age2;Age3;Age4;Age5;Age6;Age7;Age8+
1994.00;26;38G9;918.20;115.05;7104.29;1089.17;590.49;171.78;59.20;11.29;0.00
1994.00;26;39G9;1026.00;83.40;9330.20;2772.60;1773.20;539.20;210.80;42.00;0.00
1994.00;26;39H0;881.60;3.70;83.50;18.40;11.30;4.60;2.40;0.50;0.00
1994.00;26;40G9;1013.00;3.25;800.85;244.91;162.93;53.89;17.13;3.32;0.00
1994.00;26;40H0;1012.10;2.80;391.30;67.10;32.80;9.00;3.20;0.60;0.00
1994.00;26;41G9;1000.00;264.86;1097.28;228.87;150.52;43.70;26.14;0.54;10.49
1994.00;26;41H0;953.30;0.00;25.60;81.14;83.26;41.44;26.22;1.07;5.83
1994.00;28_2;42G9;986.90;0.00;420.52;467.52;159.15;157.90;111.78;3.11;25.52
1994.00;28_2;42H0;968.50;4.83;621.45;686.93;230.99;222.65;157.22;4.65;32.85
1994.00;28_2;43H0;973.70;0.44;201.34;267.90;102.00;104.27;70.59;2.12;13.70
1994.00;28_2;44H0;960.50;0.00;239.83;288.37;106.50;104.35;78.00;2.45;21.46
1994.00;28_2;44H1;824.60;0.00;115.13;50.34;11.62;12.57;9.55;0.35;2.66
1994.00;28_2;45H0;947.20;2.78;148.22;271.11;131.97;171.01;129.33;5.96;38.29
1994.00;28_2;45H1;827.10;8.13;59.85;85.57;32.43;36.33;27.73;0.85;8.57
1995.00;26;38G9;918.20;1149.44;312.93;447.44;171.66;108.03;92.28;19.88;14.75
1995.00;26;39G9;1026.00;808.00;374.23;962.41;276.91;156.00;123.57;29.07;17.07
1995.00;26;39H0;881.60;176.45;72.52;132.47;71.63;52.36;23.74;5.46;2.98
1995.00;26;40G9;1013.00;1917.09;2292.12;2719.26;1284.43;882.73;413.01;207.56;38.90
1995.00;26;40H0;1012.10;1474.90;1225.30;1971.20;350.20;122.10;44.60;7.70;7.20
1995.00;26;41G9;1000.00;16200.41;4210.16;5417.20;3257.60;1962.65;966.59;619.82;154.20
1995.00;26;41H0;953.30;4320.80;749.32;2247.52;1356.42;867.32;568.86;167.18;38.74
1995.00;28_2;42G9;986.90;449.12;805.17;5708.42;6938.94;2523.31;1862.79;436.30;508.03
1995.00;28_2;42H0;968.50;3627.81;368.40;1852.87;1873.11;593.38;357.41;71.47;81.13
1995.00;28_2;43G9;973.70;1856.07;266.39;1955.05;2708.47;937.96;617.24;143.66;149.45
1995.00;28_2;43H0;973.70;1674.91;238.84;1781.07;2049.41;708.68;491.84;120.05;138.96
1995.00;28_2;44H0;960.50;385.15;165.01;1516.59;1757.98;631.60;409.82;87.26;97.53
1995.00;28_2;44H1;824.60;1660.95;56.69;403.78;545.50;187.42;138.55;40.83;55.56
1999.00;24;38G2;832.90;1.06;166.28;99.98;172.99;85.70;1.06;1.06;1.59
1999.00;24;38G3;865.70;3.11;357.52;240.94;606.23;326.43;6.22;4.66;9.33
1999.00;24;38G4;1034.80;27.24;345.46;180.90;348.73;175.46;3.27;2.18;5.45
1999.00;24;39G2;406.10;0.26;49.47;30.48;62.00;32.23;0.44;0.35;0.61
1999.00;24;39G3;765.00;1.34;332.56;211.02;506.19;273.80;4.01;2.67;5.34
