SPECIES;Year;Sub_Div;RECT;Area;Age0;Age1;Age2;Age3;Age4;Age5;Age6;Age7;Age8+
SPR;1991.00;22;37G1;723.30;7.03;0.30;1.11;0.93;0.41;0.28;0.00;0.00;0.84
SPR;1991.00;22;38F9;51.90;502.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SPR;1991.00;22;38G0;735.30;180.19;5.42;6.07;4.55;0.08;2.28;0.00;0.00;2.68
SPR;1991.00;22;38G1;173.20;78.59;2.36;2.65;1.98;0.04;0.99;0.00;0.00;1.17
SPR;1991.00;22;39F9;159.30;3087.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SPR;1991.00;22;39G0;201.70;122.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SPR;1991.00;22;39G1;250.00;769.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SPR;1991.00;22;40F9;51.30;31.03;4.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SPR;1991.00;22;40G0;538.10;1300.71;185.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SPR;1991.00;23;39G2;130.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SPR;1991.00;23;40G2;164.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SPR;1991.00;24;37G2;192.40;129.26;45.61;52.40;38.76;15.53;11.99;1.63;4.08;4.29
SPR;1991.00;24;38G2;832.90;879.89;958.85;795.86;509.59;169.10;120.71;8.63;21.56;29.70
SPR;1991.00;24;38G3;865.70;362.64;2072.45;1058.74;577.40;176.47;78.15;0.00;0.00;20.86
SPR;1991.00;24;38G4;1034.80;571.94;470.91;227.01;130.20;43.75;21.49;0.00;0.00;2.79
SPR;1991.00;24;39G2;406.10;0.72;4.54;2.84;1.81;0.44;0.41;0.00;0.00;0.06
SPR;1991.00;24;39G3;765.00;0.00;373.73;423.15;306.03;90.23;69.65;3.08;6.17;15.06
SPR;1991.00;24;39G4;524.80;0.00;85.12;96.36;69.69;20.55;15.87;0.70;1.40;3.43
SPR;1991.00;25;37G5;642.20;289.98;42.15;21.71;48.54;1.28;6.39;3.83;1.28;2.55
SPR;1991.00;25;38G5;1035.70;1220.63;283.18;206.57;369.37;20.52;53.35;12.32;4.11;8.21
SPR;1991.00;25;38G6;940.20;635.02;240.91;99.37;118.28;1.13;21.85;7.21;1.13;4.28
SPR;1991.00;25;39G4;287.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SPR;1991.00;25;39G5;979.00;103.20;161.31;206.40;734.63;96.11;180.35;25.15;62.87;62.87
SPR;1991.00;25;39G6;1026.00;220.98;203.59;232.98;313.97;13.79;56.47;0.00;0.00;3.61
SPR;1991.00;25;39G7;1026.00;29.82;698.32;400.03;629.08;45.81;91.62;26.10;11.18;17.05
SPR;1991.00;25;40G4;677.20;0.00;1.78;63.69;90.16;85.56;44.03;47.63;18.79;51.22
SPR;1991.00;25;40G5;1012.90;0.00;117.51;411.28;1469.75;117.51;440.66;88.13;88.13;205.64
SPR;1991.00;25;40G6;1013.00;0.00;101.32;379.95;1342.29;101.32;278.63;75.99;75.99;177.31
SPR;1991.00;25;40G7;1013.00;0.00;305.52;954.76;1489.32;190.95;343.71;114.57;152.76;267.33
SPR;1991.00;25;41G7;1000.00;0.00;11.60;43.48;152.74;11.60;31.89;8.70;8.70;20.29
SPR;1991.00;26;38G8;624.60;361.59;735.66;271.46;255.03;9.13;60.26;4.26;0.00;4.26
SPR;1991.00;26;38G9;918.20;245.65;2237.96;403.63;331.06;4.89;65.19;8.63;0.00;68.94
SPR;1991.00;26;39G8;1026.00;199.09;872.23;360.01;335.86;5.12;86.35;5.12;6.58;11.71
SPR;1991.00;26;39G9;1026.00;188.36;4826.30;1224.81;862.90;0.00;248.16;0.00;50.09;72.86
SPR;1991.00;26;39H0;881.60;8190.68;1575.00;236.24;118.12;0.00;19.68;0.00;0.00;19.68
SPR;1991.00;26;40G8;1013.00;20.26;1386.43;946.36;770.64;8.47;123.86;8.47;32.82;4.23
SPR;1991.00;26;40G9;1013.00;719.23;4309.57;1655.49;1018.27;30.32;175.86;0.00;0.00;84.90
SPR;1991.00;26;40H0;1012.10;7756.05;2707.41;413.91;346.00;0.00;101.88;10.10;0.00;0.00
SPR;1991.00;26;41G8;1000.00;75.51;863.24;1128.86;1392.13;75.26;188.14;75.26;37.63;0.00
SPR;1991.00;26;41G9;1000.00;628.97;2198.92;1049.95;826.50;33.34;129.18;19.44;9.72;38.90
SPR;1991.00;26;41H0;953.30;2706.83;1573.55;549.15;339.45;9.05;60.34;0.00;0.00;33.19
SPR;1991.00;27;42G7;986.90;0.00;13.93;53.72;171.41;10.94;37.75;6.80;10.74;18.84
SPR;1991.00;27;43G7;913.80;0.00;2.20;8.25;29.24;2.20;6.05;1.65;1.65;3.85
SPR;1991.00;27;44G7;960.50;18.87;12.96;99.37;165.16;21.60;47.52;8.64;25.92;51.84
SPR;1991.00;27;45G7;908.70;9.17;15.27;350.44;519.00;45.81;122.17;61.08;167.98;244.33
SPR;1991.00;27;45G8;947.20;37.73;29.14;380.41;612.54;58.54;175.10;53.56;137.57;206.35
SPR;1991.00;27;46G8;884.80;18.18;156.44;801.73;724.32;39.11;136.88;19.55;19.55;58.66
SPR;1991.00;28_2;42G9;986.90;1913.70;710.52;741.50;557.52;63.83;200.86;3.76;17.83;50.69
SPR;1991.00;28_2;42H0;968.50;1985.84;2017.25;453.55;285.87;7.07;57.58;0.00;0.00;7.07
SPR;1991.00;28_2;43G9;973.70;1207.26;213.06;252.31;189.39;31.56;78.91;0.00;7.89;15.78
SPR;1991.00;28_2;43H0;973.70;549.03;884.76;520.24;450.18;26.83;120.74;13.41;13.41;58.13
SPR;1991.00;28_2;43H1;412.70;544.76;1218.03;25.09;12.54;0.00;0.00;0.00;0.00;0.00
SPR;1991.00;28_2;44H0;960.50;1625.86;333.12;496.80;436.55;18.80;116.86;9.41;9.41;56.42
SPR;1991.00;28_2;44H1;824.60;3226.70;421.84;8.70;4.35;0.00;0.00;0.00;0.00;0.00
SPR;1991.00;28_2;45G9;924.50;295.84;321.32;1287.64;1051.61;0.00;175.27;58.42;0.00;29.21
SPR;1991.00;28_2;45H0;947.20;199.43;1247.54;3140.56;2823.01;0.00;471.93;79.85;38.49;39.92
SPR;1991.00;28_2;45H1;827.10;97.29;293.08;250.38;159.49;4.54;59.98;4.54;0.00;0.00
SPR;1991.00;29;46G9;933.80;159.11;167.82;642.08;912.05;87.56;196.51;87.56;29.19;65.67
SPR;1991.00;29;46H0;933.80;326.80;530.22;1885.22;2178.15;176.74;589.13;294.56;58.91;176.74
SPR;1991.00;29;46H1;921.50;496.46;914.19;1181.84;1157.72;10.43;180.75;20.86;0.00;10.43
SPR;1991.00;29;47H0;920.30;294.50;279.45;1058.56;1313.61;34.93;197.44;53.16;44.05;56.19
SPR;1991.00;29;47H1;920.30;1138.44;184.44;437.03;528.14;19.26;90.37;13.33;27.41;33.34
SPR;1991.00;29;47H2;793.90;589.77;216.49;740.63;913.18;24.42;154.64;6.51;53.71;6.51
SPR;1991.00;29;48H2;597.00;3128.28;552.88;2150.10;2763.18;61.43;430.02;0.00;184.29;0.00
SPR;1992.00;22;37G0;209.90;7.10;1.98;4.53;2.08;0.50;0.28;0.02;0.00;0.00
SPR;1992.00;22;37G1;723.30;86.96;55.59;191.67;113.74;18.36;6.77;0.18;0.00;0.00
SPR;1992.00;22;38F9;51.90;6.24;1.27;3.34;2.41;0.64;0.28;0.03;0.00;0.00
SPR;1992.00;22;38G0;735.30;122.84;34.28;78.35;35.96;8.64;4.84;0.30;0.00;0.00
SPR;1992.00;22;38G1;173.20;4.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
SPR;1992.00;22;39F9;159.30;236.66;4.63;3.13;0.07;0.00;0.00;0.00;0.00;0.00
SPR;1992.00;22;39G0;201.70;181.10;3.47;1.63;0.00;0.00;0.00;0.00;0.00;0.00
SPR;1992.00;22;39G1;250.00;211.18;1.37;0.97;0.00;0.00;0.00;0.00;0.00;0.00
SPR;1992.00;22;40F9;51.30;17.58;0.56;0.72;0.01;0.00;0.00;0.00;0.00;0.00
SPR;1992.00;22;40G0;538.10;419.65;13.36;17.08;0.13;0.00;0.00;0.00;0.00;0.00
SPR;1992.00;23;40G2;164.00;39.51;12.54;18.88;36.62;11.84;3.10;1.94;0.00;0.80
SPR;1992.00;23;41G2;72.30;0.00;0.20;0.34;0.49;0.18;0.02;0.04;0.00;0.04
SPR;1992.00;24;37G2;192.40;7.23;6.54;15.07;14.96;3.33;0.62;0.09;0.00;0.00
SPR;1992.00;24;38G2;832.90;65.99;59.69;137.63;136.56;30.40;5.68;0.85;0.00;0.00
SPR;1992.00;24;38G3;865.70;431.37;766.21;613.51;221.11;31.01;4.36;0.00;0.00;0.00
SPR;1992.00;24;38G4;1034.80;1789.83;77.28;73.57;36.76;5.55;0.56;0.00;0.00;0.00
SPR;1992.00;24;39G2;406.10;7.99;3.25;10.05;7.90;2.26;0.37;0.14;0.00;0.00
SPR;1992.00;24;39G3;765.00;474.35;556.57;772.41;562.47;106.26;15.93;0.67;0.00;0.00
SPR;1992.00;24;39G4;524.80;34.87;184.05;223.36;200.88;42.20;7.88;4.99;2.39;0.34
SPR;1992.00;25;39G5;979.00;0.00;97.21;511.37;261.58;43.86;33.92;16.24;0.00;9.62
SPR;1992.00;25;39G6;1026.00;0.00;76.75;181.63;286.52;158.73;19.00;20.22;28.26;0.00
SPR;1992.00;25;39G7;1026.00;187.20;736.76;451.14;588.04;340.79;9.64;60.05;7.16;19.09
SPR;1992.00;25;40G4;677.20;0.00;5.04;105.67;245.23;58.87;19.95;22.32;18.48;3.48
SPR;1992.00;25;40G5;1012.90;4.35;65.58;162.29;259.02;103.66;8.92;41.49;39.57;50.59
